"url","description"
"/","Eleven self-catering holiday cottages on a working family farm near Mattersey, on the Nottinghamshire and South Yorkshire border. Sleeping two to six."
"/about","A family-run working farm with eleven self-catering cottages, converted from courtyard barns and old farm buildings around a shared courtyard."
"/about/faq","Answers to common questions about staying with us: pets, wifi, parking, check-in times, linen, cancellations and travel insurance."
"/about/games-room","Our games room has a full size snooker table, board games and a library, free for guests to use all year round."
"/about/local-interests","Golf, water parks, nature reserves and day trips: places to visit near Blaco Hill Farm Cottages on the Nottinghamshire and Yorkshire border."
"/about/testimonials","Read what guests say about their stays with us, from family get-togethers and weekends with friends to quiet countryside breaks."
"/accessibility-statement","Detailed access information for our converted farm cottages, covering parking, entrances, bathrooms and the shared courtyard. Do call with any questions."
"/amazing-family-get-together","A guest review of a family get-together for 21 at Blaco Hill Farm Cottages, with every question answered promptly before arrival."
"/are-longer-term-lets-available","Yes, longer-term lets are available at Blaco Hill Farm Cottages. Get in touch and we can discuss what you need."
"/are-these-holiday-lets-suitable-for-families","Yes. Families are welcome, with a children's play area, and travel cots, highchairs and stair gates available in our cottages."
"/are-towels-and-linen-provided","All bed linen, plus one bath sheet and hand towel per guest, is provided. Please bring your own cot bedding and baby towels."
"/are-your-cottages-child-friendly","Yes. Stair gates, highchairs and travel cots are free to request, and there is a woodland play area and an indoor games room for all ages."
"/ask-us-a-question","Have a question about staying at Blaco Hill Farm Cottages? Send us a message and we aim to reply within 24 hours."
"/booking-request-form","Request a booking form for Blaco Hill Farm Cottages. Tell us your dates and party size and we will come back to you with availability and prices."
"/brilliant-place-to-stay","A guest review of repeat stays at Blaco Hill Farm Cottages, returning every other month while visiting family in the area."
"/calendar","Check availability at Blaco Hill Farm Cottages. Cottages book at short notice, so send us your dates for availability and our best prices."
"/can-we-all-eat-together-if-we-book-the-whole-site","Yes. If you book every cottage, the games room has a fully equipped kitchen and seating for every guest, so you can all cook and dine together."
"/checking-in-checkout-process","Self check-in is available from 3pm, and we ask guests to vacate by 10am leaving the key in the door. Full details come with your booking."
"/contact-us","Get in touch with Blaco Hill Farm Cottages near Mattersey, on the Nottinghamshire and South Yorkshire border, with directions and contact details."
"/cookies","How this website uses cookies, what each one does, how long it lasts, and how to manage your choices."
"/disclaimer","The terms on which Blaco Hill Farm Cottages provides this website and its contents."
"/do-i-need-travel-insurance","We strongly recommend travel insurance with cancellation cover when you book, as any refund for a cancellation is at our discretion."
"/do-you-accept-pets","Yes. Pets are welcome in all of our cottages except Cuckoo. Just let us know when you book that you are bringing one."
"/do-you-have-any-laundry-facilities-we-can-use","Guests are welcome to use the communal laundry room, with two washing machines, a tumble dryer and ironing equipment."
"/do-you-have-wifi","Yes. There is wifi in every cottage and in the games room, and the mobile signal is good outside too."
"/excellent-and-great-location","A guest review of a dog-friendly stay at Blaco Hill Farm Cottages, with grounds to explore and a handy base for nearby towns."
"/family-weekend-away","A guest review of a family weekend for 24 across seven cottages, with well-equipped kitchens and the games room for everyone."
"/fantastic-girls-weekend","A guest review of a weekend with friends in Swallow cottage, with a warm welcome and a comfortable, spotless cottage."
"/for-four-people","Our self-catering cottages sleeping four, with en-suite bedrooms, open-plan living and views across the farm."
"/for-six-people","Our self-catering cottages sleeping five or six, with open-plan living, fully equipped kitchens and large dining tables for the whole party."
"/for-two-people","Our self-catering cottages for two, with bright open-plan living, en-suite master bedrooms and private patios."
"/highly-recommended","A guest review of beautifully converted cottages in stunning countryside, with great routes for walks and runs from the door."
"/how-do-i-pay","We prefer payment by bank transfer, and can also take cheques or PayPal. Full details come with your booking correspondence."
"/i-am-disabled-are-your-properties-suitable-for-me","We do everything we can to accommodate everyone. Read our access statement for detailed information, or call us to talk it through."
"/modern-slavery","How Blaco Hill Farm Cottages works to prevent modern slavery and human trafficking in our business and supply chain, and how to raise a concern."
"/our-cottages","Eleven individual self-catering cottages sleeping two to six, sympathetically converted from farm buildings around a shared courtyard."
"/our-cottages/chaffinch-2","Chaffinch sleeps four over two floors, with an en-suite master and twin bedroom, a large sitting room and a kitchen dining room. Pets welcome."
"/our-cottages/cuckoo","Cuckoo sleeps four, with a super king en-suite master, a twin bedroom, a large sitting area, kitchen diner and private patio. No pets."
"/our-cottages/grey-goose","Greygoose sleeps two, with a superking or twin bedroom, en-suite shower over bath, a large sitting area and a private patio. Pets welcome."
"/our-cottages/mallard","Mallard sleeps two, with a superking or twin bedroom, en-suite shower over bath, a large sitting area and a private patio."
